Index_Name,Date,Value_Without_Dividends__USD_,Value_With_Dividends__USD_
Russell 2000®,07/15/2025,5480.112316,12012.132492
Russell 2000®,07/14/2025,5591.141903,12255.026667
Russell 2000®,07/11/2025,5554.107220,12173.759618
Russell 2000®,07/10/2025,5625.144934,12328.812558
Russell 2000®,07/09/2025,5598.004989,12269.118985
Russell 2000®,07/08/2025,5538.976291,12139.361164
Russell 2000®,07/07/2025,5502.908912,12059.927705
Russell 2000®,07/04/2025,5589.421068,12249.169815
Russell 2000®,07/03/2025,5589.421068,12249.169815
Russell 2000®,07/02/2025,5533.107740,12125.227336
Russell 2000®,07/01/2025,5461.438855,11967.807629
Russell 2000®,06/30/2025,5405.511042,11844.795622
Russell 2000®,06/27/2025,5399.273539,11825.294525
Russell 2000®,06/26/2025,5398.235688,11822.140638
Russell 2000®,06/25/2025,5308.956733,11626.500187
Russell 2000®,06/24/2025,5371.157260,11762.622448
Russell 2000®,06/23/2025,5300.256994,11607.106165
Russell 2000®,06/20/2025,5242.060857,11479.281136
Russell 2000®,06/19/2025,5251.248783,11499.003492
Russell 2000®,06/18/2025,5251.248783,11499.003492
Russell 2000®,06/17/2025,5223.900610,11438.828092
Russell 2000®,06/16/2025,5278.991756,11559.066505
Russell 2000®,06/13/2025,5220.284738,11429.201026
Russell 2000®,06/12/2025,5318.673423,11642.069158
Russell 2000®,06/11/2025,5338.900123,11685.561306
Russell 2000®,06/10/2025,5359.215101,11729.771425
Russell 2000®,06/09/2025,5329.493707,11664.014962
Russell 2000®,06/06/2025,5299.171463,11597.522371
Russell 2000®,06/05/2025,5212.451993,11405.974546
Russell 2000®,06/04/2025,5215.257545,11411.212613
Russell 2000®,06/03/2025,5226.437565,11435.593648
Russell 2000®,06/02/2025,5144.878846,11256.581502
Russell 2000®,05/30/2025,5135.242648,11234.194950
Russell 2000®,05/29/2025,5156.344956,11278.018748
Russell 2000®,05/28/2025,5139.001841,11239.689702
Russell 2000®,05/27/2025,5195.169374,11362.458269
Russell 2000®,05/26/2025,5069.543308,11087.513299
Russell 2000®,05/23/2025,5069.543308,11087.513299
Russell 2000®,05/22/2025,5083.739375,11117.637653
Russell 2000®,05/21/2025,5086.206994,11122.654283
Russell 2000®,05/20/2025,5232.895146,11443.130840
Russell 2000®,05/19/2025,5230.047325,11436.488999
Russell 2000®,05/16/2025,5251.968946,11483.593817
Russell 2000®,05/15/2025,5205.840195,11380.655112
Russell 2000®,05/14/2025,5178.778821,11319.559575
Russell 2000®,05/13/2025,5224.864675,11419.814911
Russell 2000®,05/12/2025,5199.632720,11364.285582
Russell 2000®,05/09/2025,5027.848555,10987.927590
Russell 2000®,05/08/2025,5036.151022,11005.216899
Russell 2000®,05/07/2025,4944.809056,10805.084493
Russell 2000®,05/06/2025,4928.719497,10769.683267
Russell 2000®,05/05/2025,4981.093001,10883.871689
Russell 2000®,05/02/2025,5022.041920,10972.377350
Russell 2000®,05/01/2025,4910.516132,10728.528738
Russell 2000®,04/30/2025,4881.331374,10664.696446
Russell 2000®,04/29/2025,4912.140628,10730.683799
Russell 2000®,04/28/2025,4884.883736,10670.869355
Russell 2000®,04/25/2025,4865.168292,10627.792404
Russell 2000®,04/24/2025,4865.101238,10627.135839
Russell 2000®,04/23/2025,4769.545846,10418.366744
Russell 2000®,04/22/2025,4697.822168,10261.619227
Russell 2000®,04/21/2025,4573.663486,9990.175623
Russell 2000®,04/18/2025,4673.821882,10208.899198
Russell 2000®,04/17/2025,4673.821882,10208.899198
Russell 2000®,04/16/2025,4631.214244,10115.299944
Russell 2000®,04/15/2025,4679.532000,10220.689272
Russell 2000®,04/14/2025,4674.459046,10209.148457
Russell 2000®,04/11/2025,4623.077415,10096.768176
Russell 2000®,04/10/2025,4551.477589,9939.840050
Russell 2000®,04/09/2025,4754.691464,10383.589880
Russell 2000®,04/08/2025,4375.807638,9555.820010
Russell 2000®,04/07/2025,4498.665041,9823.770892
Russell 2000®,04/04/2025,4540.634785,9915.145850
Russell 2000®,04/03/2025,4748.188635,10367.746792
Russell 2000®,04/02/2025,5083.243570,11099.113462
Russell 2000®,04/01/2025,5000.925611,10919.140822
Russell 2000®,03/31/2025,5000.111610,10916.899406
Russell 2000®,03/28/2025,5028.345534,10972.851202
Russell 2000®,03/27/2025,5133.778012,11202.263622
Russell 2000®,03/26/2025,5153.999794,11245.879525
Russell 2000®,03/25/2025,5207.543554,11362.635110
Russell 2000®,03/24/2025,5242.332594,11438.498742
Russell 2000®,03/21/2025,5112.120561,11153.911587
Russell 2000®,03/20/2025,5141.062969,11216.747968
Russell 2000®,03/19/2025,5174.484924,11289.502268
Russell 2000®,03/18/2025,5094.605055,11115.073622
Russell 2000®,03/17/2025,5140.323848,11214.549732
Russell 2000®,03/14/2025,5080.091297,11082.303907
Russell 2000®,03/13/2025,4954.822283,10805.252115
Russell 2000®,03/12/2025,5036.281864,10982.184901
Russell 2000®,03/11/2025,5029.140521,10966.238696
Russell 2000®,03/10/2025,5017.891132,10940.601620
Russell 2000®,03/07/2025,5158.097214,11245.035643
Russell 2000®,03/06/2025,5135.904943,11194.927571
Russell 2000®,03/05/2025,5220.888075,11379.902694
Russell 2000®,03/04/2025,5168.162640,11263.947184
Russell 2000®,03/03/2025,5224.583467,11386.287820
Russell 2000®,02/28/2025,5375.772230,11714.276303
Russell 2000®,02/27/2025,5317.593697,11585.480273
Russell 2000®,02/26/2025,5403.370056,11772.117754
Russell 2000®,02/25/2025,5393.198786,11749.737075
Russell 2000®,02/24/2025,5413.538493,11793.922415
Russell 2000®,02/21/2025,5455.994088,11885.853782
Russell 2000®,02/20/2025,5621.001094,12244.657767
Russell 2000®,02/19/2025,5672.482564,12356.374476
Russell 2000®,02/18/2025,5692.104410,12399.035909
Russell 2000®,02/17/2025,5666.326549,12341.081529
Russell 2000®,02/14/2025,5666.326549,12341.081529
Russell 2000®,02/13/2025,5671.803545,12350.138970
Russell 2000®,02/12/2025,5606.449019,12207.619391
Russell 2000®,02/11/2025,5655.689626,12314.387268
Russell 2000®,02/10/2025,5686.104007,12380.437680
Russell 2000®,02/07/2025,5665.648588,12335.264122
Russell 2000®,02/06/2025,5733.775388,12483.067171
Russell 2000®,02/05/2025,5756.417460,12531.952297
Russell 2000®,02/04/2025,5691.736259,12390.942135
Russell 2000®,02/03/2025,5612.733280,12218.671949
Russell 2000®,01/31/2025,5685.491869,12376.275296
Russell 2000®,01/30/2025,5734.596334,12482.291974
Russell 2000®,01/29/2025,5674.066452,12350.516458
Russell 2000®,01/28/2025,5688.398042,12381.372132
Russell 2000®,01/27/2025,5676.374071,12355.132325
Russell 2000®,01/24/2025,5735.310313,12483.322830
Russell 2000®,01/23/2025,5752.356111,12520.062785
Russell 2000®,01/22/2025,5725.320644,12461.080075
Russell 2000®,01/21/2025,5760.734527,12538.144320
Russell 2000®,01/20/2025,5656.139849,12310.461443
Russell 2000®,01/17/2025,5656.139849,12310.461443
Russell 2000®,01/16/2025,5633.549246,12261.013640
Russell 2000®,01/15/2025,5624.856532,12241.913578
Russell 2000®,01/14/2025,5515.361685,12003.166603
Russell 2000®,01/13/2025,5453.645679,11868.780630
Russell 2000®,01/10/2025,5440.795168,11840.467567
Russell 2000®,01/09/2025,5564.389696,12108.809885
Russell 2000®,01/08/2025,5564.389696,12108.809885
Russell 2000®,01/07/2025,5591.330239,12167.258395
Russell 2000®,01/06/2025,5633.183955,12258.312484
Russell 2000®,01/03/2025,5637.721168,12268.086745
Russell 2000®,01/02/2025,5546.257441,12068.671308
Russell 2000®,01/01/2025,5542.504751,12060.069983
Russell 2000®,12/31/2024,5542.504751,12060.069983

